Date,High_MKC,Low_MKC,Open_MKC,Close_MKC,Volume_MKC
2021-02-25,85.83999633789062,83.91999816894531,84.88999938964844,84.41000366210938,767800
2021-02-26,84.79000091552734,83.76000213623047,84.51000213623047,84.27999877929688,1377700
2021-03-01,85.4000015258789,84.19000244140625,84.79000091552734,84.55000305175781,1287700
2021-03-02,85.51000213623047,84.11000061035156,84.69000244140625,84.9000015258789,866400
2021-03-03,84.9000015258789,83.13999938964844,84.6500015258789,83.19000244140625,1440400
2021-03-04,84.62999725341797,82.58000183105469,83.58999633789062,82.9000015258789,1665000
2021-03-05,84.9000015258789,82.02999877929688,83.13999938964844,84.43000030517578,1162400
2021-03-08,84.75,83.66000366210938,84.52999877929688,84.1500015258789,1401800
2021-03-09,86.31999969482422,84.31999969482422,84.5,85.0199966430664,1351600
2021-03-10,86.29000091552734,84.05000305175781,85.22000122070312,85.9000015258789,1034400
2021-03-11,86.80000305175781,85.38999938964844,85.66000366210938,85.81999969482422,851700
2021-03-12,86.88999938964844,85.45999908447266,86.20999908447266,86.80999755859375,1097100
2021-03-15,88.05000305175781,86.93000030517578,87.16999816894531,87.33999633789062,1530700
2021-03-16,87.9000015258789,86.77999877929688,87.30999755859375,87.2300033569336,966500
2021-03-17,87.41999816894531,86.19999694824219,86.66000366210938,86.6500015258789,1410600
2021-03-18,86.94000244140625,85.4800033569336,86.22000122070312,86.31999969482422,1093600
2021-03-19,87.91000366210938,86.3499984741211,86.5,86.54000091552734,2363000
2021-03-22,87.91999816894531,86.38999938964844,86.63999938964844,87.8499984741211,976100
2021-03-23,88.33999633789062,87.0199966430664,88.18000030517578,87.55999755859375,1043500
2021-03-24,88.04000091552734,86.0,86.62999725341797,87.52999877929688,1238400
2021-03-25,89.26000213623047,87.4000015258789,88.0999984741211,88.69999694824219,974000
2021-03-26,90.51000213623047,88.5,88.5,90.20999908447266,1411100
2021-03-29,91.0,89.4000015258789,90.0,90.12999725341797,1647900
2021-03-30,95.88999938964844,89.56999969482422,95.8499984741211,89.9000015258789,4028600
2021-03-31,89.87000274658203,88.81999969482422,89.72000122070312,89.16000366210938,1795500
2021-04-01,90.1500015258789,87.58000183105469,89.08999633789062,89.23999786376953,1808800
2021-04-05,90.26000213623047,88.58999633789062,89.16999816894531,89.08000183105469,1226300
2021-04-06,89.94000244140625,88.70999908447266,88.80999755859375,89.7300033569336,1231400
2021-04-07,90.05000305175781,88.69999694824219,90.05000305175781,89.16000366210938,1211600
2021-04-08,89.93000030517578,89.01000213623047,89.01000213623047,89.63999938964844,2671700
2021-04-09,89.80999755859375,87.72000122070312,89.18000030517578,88.11000061035156,959500
2021-04-12,88.5,87.61000061035156,88.06999969482422,88.2300033569336,1277400
2021-04-13,88.76000213623047,87.86000061035156,88.02999877929688,88.0199966430664,1496000
2021-04-14,88.23999786376953,86.9800033569336,88.08999633789062,87.91000366210938,877300
2021-04-15,88.56999969482422,87.94999694824219,88.22000122070312,88.4800033569336,769400
2021-04-16,88.88999938964844,88.02999877929688,88.73999786376953,88.79000091552734,935000
2021-04-19,89.08000183105469,87.87000274658203,88.5999984741211,88.8499984741211,1315500
2021-04-20,90.68000030517578,88.58000183105469,88.76000213623047,90.62000274658203,1822000
2021-04-21,92.12000274658203,91.0,91.16999816894531,91.91999816894531,1770000
2021-04-22,92.11000061035156,91.19999694824219,91.91999816894531,91.41999816894531,1042900
2021-04-23,91.81999969482422,90.7699966430664,91.4000015258789,91.47000122070312,1369000
2021-04-26,91.5,90.0999984741211,91.5,90.3499984741211,1651600
2021-04-27,90.5,89.41000366210938,90.30000305175781,89.87000274658203,956900
2021-04-28,90.58999633789062,89.12000274658203,90.08000183105469,89.31999969482422,712200
2021-04-29,90.81999969482422,89.43000030517578,89.43000030517578,90.5999984741211,669400
2021-04-30,90.80999755859375,89.79000091552734,90.62000274658203,90.36000061035156,1719400
2021-05-03,91.54000091552734,90.26000213623047,90.26000213623047,90.9000015258789,725600
2021-05-04,91.44999694824219,89.8499984741211,91.16000366210938,90.37000274658203,1104200
2021-05-05,90.62000274658203,89.7300033569336,90.1500015258789,90.45999908447266,918100
2021-05-06,91.83000183105469,89.70999908447266,90.9800033569336,90.2300033569336,1206300
2021-05-07,90.5,88.80999755859375,90.12999725341797,89.33000183105469,843200
2021-05-10,91.62000274658203,89.41000366210938,89.55000305175781,90.68000030517578,1765000
2021-05-11,91.31999969482422,89.25,91.11000061035156,89.72000122070312,1029600
2021-05-12,90.06999969482422,88.75,89.80000305175781,88.94000244140625,951300
2021-05-13,90.66999816894531,88.5,88.58999633789062,90.26000213623047,1384900
2021-05-14,90.56999969482422,89.55999755859375,90.19999694824219,89.55999755859375,876700
2021-05-17,90.4800033569336,89.11000061035156,89.83000183105469,89.13999938964844,948800
