Date,High_MMM,Low_MMM,Open_MMM,Close_MMM,Volume_MMM
2001-08-16,55.0,53.75,55.0,54.5099983215332,3492400
2001-08-17,55.45000076293945,54.23500061035156,55.45000076293945,54.34000015258789,4144400
2001-08-20,54.7400016784668,53.8650016784668,54.34000015258789,54.29999923706055,2216400
2001-08-21,55.75,53.775001525878906,54.619998931884766,53.875,3683600
2001-08-22,55.17499923706055,53.525001525878906,54.25,54.904998779296875,4081000
2001-08-23,54.90999984741211,54.0,54.90999984741211,54.17499923706055,2964800
2001-08-24,55.90999984741211,53.755001068115234,54.224998474121094,55.30500030517578,2782400
2001-08-27,55.7599983215332,55.20000076293945,55.7400016784668,55.275001525878906,1800600
2001-08-28,55.099998474121094,54.20000076293945,55.025001525878906,54.650001525878906,2438800
2001-08-29,55.0,53.10499954223633,54.70000076293945,53.375,3602200
2001-08-30,53.82500076293945,51.54999923706055,53.040000915527344,52.099998474121094,3987600
2001-08-31,52.875,51.79999923706055,52.224998474121094,52.04999923706055,2352200
2001-09-04,53.79499816894531,52.025001525878906,52.04999923706055,52.275001525878906,4309400
2001-09-05,53.150001525878906,51.72999954223633,52.52000045776367,52.5,4040600
2001-09-06,52.584999084472656,51.5,52.5,51.95000076293945,3272000
2001-09-07,51.650001525878906,50.3849983215332,51.404998779296875,50.38999938964844,4707600
2001-09-10,51.95000076293945,50.20500183105469,50.38999938964844,51.099998474121094,5046200
2001-09-17,50.790000915527344,47.209999084472656,50.78499984741211,47.724998474121094,7105000
2001-09-18,48.599998474121094,46.67499923706055,47.75,47.06999969482422,6034800
2001-09-19,47.650001525878906,44.25,47.25,46.224998474121094,6716200
2001-09-20,46.400001525878906,44.75,46.224998474121094,45.15999984741211,6416200
2001-09-21,46.0,42.93000030517578,45.165000915527344,43.4900016784668,12220600
2001-09-24,46.2400016784668,43.4900016784668,43.4900016784668,45.834999084472656,6966000
2001-09-25,47.0,45.255001068115234,45.5,46.564998626708984,5168800
2001-09-26,46.970001220703125,46.33000183105469,46.75,46.689998626708984,4282800
2001-09-27,48.25,45.849998474121094,46.689998626708984,48.154998779296875,4472800
2001-09-28,49.3849983215332,48.400001525878906,49.0,49.20000076293945,4894000
2001-10-01,49.064998626708984,47.599998474121094,49.0,48.43000030517578,5230600
2001-10-02,48.849998474121094,48.150001525878906,48.43000030517578,48.60499954223633,4148000
2001-10-03,49.900001525878906,48.04999923706055,48.45000076293945,49.79499816894531,4597800
2001-10-04,50.25,49.400001525878906,49.79499816894531,49.81999969482422,4342600
2001-10-05,50.0,48.81999969482422,49.70000076293945,49.869998931884766,3257200
2001-10-08,49.875,48.849998474121094,49.70000076293945,49.224998474121094,3651000
2001-10-09,49.900001525878906,48.724998474121094,49.22999954223633,49.220001220703125,2936400
2001-10-10,51.45000076293945,49.0,49.290000915527344,50.91999816894531,4500200
2001-10-11,53.5,51.64500045776367,51.70000076293945,53.06999969482422,6248400
2001-10-12,53.25,51.91999816894531,52.724998474121094,52.244998931884766,4195200
2001-10-15,53.0,51.810001373291016,51.845001220703125,52.904998779296875,2792800
2001-10-16,53.3849983215332,52.45000076293945,52.904998779296875,53.099998474121094,3437600
2001-10-17,53.79999923706055,51.4900016784668,53.650001525878906,51.58000183105469,4404600
2001-10-18,51.95000076293945,50.70000076293945,51.58000183105469,51.474998474121094,4013800
2001-10-19,51.39500045776367,50.58000183105469,51.21500015258789,51.084999084472656,4515800
2001-10-22,54.0,50.5,50.5,53.69499969482422,6962200
2001-10-23,53.994998931884766,52.92499923706055,53.994998931884766,53.20000076293945,4075000
2001-10-24,53.619998931884766,53.0,53.400001525878906,53.349998474121094,3121200
2001-10-25,54.44499969482422,53.0099983215332,53.275001525878906,54.349998474121094,3485800
2001-10-26,55.0,53.79999923706055,54.29999923706055,54.915000915527344,2491400
2001-10-29,54.625,53.1349983215332,54.29999923706055,53.26499938964844,4189600
2001-10-30,53.19499969482422,52.0,53.150001525878906,52.68000030517578,4158000
2001-10-31,53.494998931884766,52.165000915527344,53.20000076293945,52.189998626708984,3176400
2001-11-01,53.28499984741211,51.70000076293945,52.314998626708984,53.1349983215332,3289200
2001-11-02,54.650001525878906,53.005001068115234,53.2400016784668,54.099998474121094,3054600
2001-11-05,55.59000015258789,54.849998474121094,54.95000076293945,55.25,3513400
2001-11-06,55.25,53.790000915527344,55.25,54.689998626708984,6284600
2001-11-07,56.095001220703125,54.64500045776367,54.689998626708984,55.224998474121094,3299000
2001-11-08,56.525001525878906,55.25,55.25,55.70000076293945,3475200
2001-11-09,56.2400016784668,55.31999969482422,55.57500076293945,55.77000045776367,2595200
2001-11-12,56.10499954223633,54.849998474121094,55.5099983215332,55.474998474121094,3910000
2001-11-13,56.974998474121094,55.75,55.775001525878906,56.70500183105469,3097200
2001-11-14,57.92499923706055,56.755001068115234,57.4900016784668,57.43000030517578,3650800
