Date,High_^NYA,Low_^NYA,Open_^NYA,Close_^NYA,Volume_^NYA
2022-03-31,16932.759765625,16670.849609375,16932.759765625,16670.91015625,4823020000
2022-04-01,16797.640625,16652.689453125,16670.91015625,16787.75,4562940000
2022-04-04,16841.619140625,16735.880859375,16787.75,16829.75,4547350000
2022-04-05,16889.380859375,16612.58984375,16830.939453125,16645.05078125,4800620000
2022-04-06,16645.05078125,16472.669921875,16645.05078125,16587.099609375,4986830000
2022-04-07,16690.400390625,16449.76953125,16587.099609375,16631.44921875,4821490000
2022-04-08,16775.560546875,16616.400390625,16631.44921875,16689.94921875,4083200000
2022-04-11,16689.94921875,16519.859375,16689.94921875,16534.19921875,4266290000
2022-04-12,16693.48046875,16419.080078125,16534.19921875,16465.990234375,4152090000
2022-04-13,16627.9296875,16465.990234375,16465.990234375,16614.7890625,3828150000
2022-04-14,16680.220703125,16508.310546875,16614.7890625,16511.509765625,4083090000
2022-04-18,16546.400390625,16407.369140625,16511.509765625,16466.2109375,3910490000
2022-04-19,16685.939453125,16466.2109375,16466.2109375,16658.900390625,4108120000
2022-04-20,16835.73046875,16658.900390625,16658.900390625,16761.349609375,4290450000
2022-04-21,16882.640625,16472.169921875,16761.349609375,16499.330078125,4636890000
2022-04-22,16499.330078125,16047.5400390625,16499.330078125,16056.8701171875,4651940000
2022-04-25,16079.16015625,15708.900390625,16056.8701171875,16054.759765625,5240040000
2022-04-26,16054.759765625,15694.16015625,16054.759765625,15694.240234375,4689970000
2022-04-27,15887.6796875,15656.0703125,15694.240234375,15741.8203125,4769680000
2022-04-28,16095.6904296875,15706.0302734375,15741.8203125,16032.6796875,4854180000
2022-04-29,16053.2900390625,15593.23046875,16032.6796875,15615.25,5084030000
2022-05-02,15698.51953125,15324.73046875,15615.25,15609.2802734375,5163790000
2022-05-03,15818.73046875,15609.2802734375,15609.2802734375,15729.5302734375,4582050000
2022-05-04,16139.669921875,15650.650390625,15729.5302734375,16119.6103515625,5136360000
2022-05-05,16119.6103515625,15515.98046875,16119.6103515625,15652.6103515625,5077030000
2022-05-06,15652.6103515625,15360.16015625,15652.6103515625,15566.5595703125,5116940000
2022-05-09,15566.5595703125,15005.9501953125,15566.5595703125,15057.8701171875,5954520000
2022-05-10,15286.400390625,14855.599609375,15057.8701171875,15025.740234375,5885820000
2022-05-11,15290.6298828125,14887.6396484375,15025.740234375,14902.1396484375,5816140000
2022-05-12,15007.169921875,14695.6904296875,14902.1396484375,14931.099609375,6286450000
2022-05-13,15304.2001953125,14931.099609375,14931.099609375,15257.3603515625,5183340000
2022-05-16,15374.080078125,15150.919921875,15257.3603515625,15259.8203125,4415030000
2022-05-17,15544.5498046875,15259.8203125,15259.8203125,15541.91015625,4841410000
2022-05-18,15541.91015625,14997.509765625,15541.91015625,15044.51953125,5103220000
2022-05-19,15179.259765625,14901.0400390625,15044.51953125,15035.8701171875,5113550000
2022-05-20,15190.669921875,14785.2001953125,15035.8701171875,15080.98046875,5130730000
2022-05-23,15383.3701171875,15080.98046875,15080.98046875,15342.9599609375,4420030000
2022-05-24,15342.9599609375,15056.419921875,15342.9599609375,15290.3798828125,4923190000
2022-05-25,15472.26953125,15246.759765625,15290.3798828125,15412.1904296875,4802560000
2022-05-26,15718.7998046875,15412.1904296875,15412.1904296875,15664.0,4709970000
2022-05-27,15942.83984375,15664.0,15664.0,15942.6201171875,4375620000
2022-05-31,15949.66015625,15794.1904296875,15942.6201171875,15827.0498046875,6822640000
2022-06-01,15922.0302734375,15588.7802734375,15827.0498046875,15709.6103515625,4531800000
2022-06-02,15960.76953125,15645.349609375,15709.6103515625,15960.5302734375,4405790000
2022-06-03,15960.5302734375,15764.83984375,15960.5302734375,15797.169921875,3711110000
2022-06-06,15982.2900390625,15797.169921875,15797.169921875,15848.4501953125,4332700000
2022-06-07,16022.830078125,15737.740234375,15848.4501953125,16019.5595703125,4248210000
2022-06-08,16019.5595703125,15806.41015625,16019.5595703125,15843.830078125,4159470000
2022-06-09,15843.830078125,15472.08984375,15843.830078125,15472.4599609375,4134170000
2022-06-10,15472.4599609375,15078.1396484375,15472.4599609375,15096.6904296875,4889640000
2022-06-13,15096.6904296875,14468.16015625,15096.6904296875,14527.900390625,5636890000
2022-06-14,14652.1103515625,14332.669921875,14527.900390625,14444.6396484375,5153890000
2022-06-15,14746.240234375,14366.3603515625,14444.6396484375,14595.23046875,5530480000
2022-06-16,14595.23046875,14055.33984375,14595.23046875,14142.1904296875,5644930000
2022-06-17,14261.3798828125,13993.2001953125,14142.1904296875,14097.0498046875,8520740000
2022-06-21,14468.1796875,14097.0498046875,14097.0498046875,14414.25,5292260000
2022-06-22,14489.1396484375,14201.8095703125,14414.25,14352.7802734375,5058990000
2022-06-23,14435.1396484375,14226.009765625,14352.7802734375,14402.1201171875,5098640000
2022-06-24,14813.23046875,14402.1201171875,14402.1201171875,14811.5498046875,8120260000
2022-06-27,14913.400390625,14771.8603515625,14811.5498046875,14835.2998046875,4325310000
2022-06-28,15028.0498046875,14648.2998046875,14835.2998046875,14667.3203125,4270120000
2022-06-29,14701.4296875,14545.009765625,14667.3203125,14599.58984375,4211240000
2022-06-30,14599.58984375,14321.16015625,14599.58984375,14487.6396484375,4840070000
2022-07-01,14659.16015625,14341.2802734375,14487.6396484375,14636.759765625,4046950000
2022-07-05,14636.759765625,14217.98046875,14636.759765625,14499.490234375,5076590000
2022-07-06,14544.349609375,14340.48046875,14499.490234375,14465.2900390625,4417720000
2022-07-07,14701.2998046875,14465.2900390625,14465.2900390625,14676.5,4057770000
2022-07-08,14726.6298828125,14567.9404296875,14676.5,14642.330078125,3521620000
2022-07-11,14642.330078125,14478.0498046875,14642.330078125,14502.4296875,3423480000
2022-07-12,14537.1298828125,14343.830078125,14502.4296875,14395.0400390625,3817210000
2022-07-13,14425.16015625,14194.599609375,14395.0400390625,14340.2802734375,4109390000
2022-07-14,14340.2802734375,13988.8603515625,14340.2802734375,14171.240234375,4199690000
2022-07-15,14449.7197265625,14171.240234375,14171.240234375,14449.6796875,4143800000
2022-07-18,14629.0,14376.8798828125,14449.6796875,14403.1796875,4046870000
2022-07-19,14778.599609375,14403.1796875,14403.1796875,14766.599609375,4041070000
2022-07-20,14824.1201171875,14682.1298828125,14766.599609375,14778.4697265625,4185300000
2022-07-21,14872.26953125,14648.990234375,14778.4697265625,14871.1298828125,4132790000
2022-07-22,14946.330078125,14708.1201171875,14871.1298828125,14790.7900390625,3979240000
2022-07-25,14907.1904296875,14781.0703125,14790.7900390625,14899.08984375,3568340000
2022-07-26,14899.08984375,14761.26953125,14899.08984375,14793.5498046875,3778950000
2022-07-27,15075.98046875,14793.5498046875,14793.5498046875,15031.0400390625,4112180000
2022-07-28,15209.7900390625,14922.8095703125,15031.0400390625,15198.8095703125,4413000000
2022-07-29,15354.73046875,15187.349609375,15198.8095703125,15327.7099609375,4616360000
2022-08-01,15327.7099609375,15192.3095703125,15327.7099609375,15286.009765625,4202810000
2022-08-02,15328.259765625,15152.7099609375,15286.009765625,15162.6796875,4727710000
2022-08-03,15308.8095703125,15162.6796875,15162.6796875,15267.16015625,4351760000
2022-08-04,15283.98046875,15214.7998046875,15267.16015625,15224.2099609375,4283320000
2022-08-05,15274.7802734375,15100.6298828125,15224.2099609375,15273.23046875,4085940000
2022-08-08,15417.8095703125,15273.23046875,15273.23046875,15305.7998046875,4221090000
2022-08-09,15342.740234375,15225.2001953125,15305.7998046875,15264.7900390625,3913090000
2022-08-10,15562.23046875,15264.7900390625,15264.7900390625,15552.7001953125,4546010000
2022-08-11,15745.830078125,15552.7001953125,15552.7001953125,15602.9296875,4630200000
2022-08-12,15805.76953125,15602.9296875,15602.9296875,15804.3798828125,3788010000
2022-08-15,15805.2099609375,15652.169921875,15804.3896484375,15794.330078125,3696830000
2022-08-16,15897.669921875,15761.599609375,15794.330078125,15846.7900390625,4329820000
2022-08-17,15846.7900390625,15659.9599609375,15846.7900390625,15734.1103515625,3885030000
2022-08-18,15785.740234375,15691.1904296875,15734.1103515625,15763.900390625,3340330000
2022-08-19,15763.900390625,15555.509765625,15763.900390625,15588.3203125,3761340000
2022-08-22,15588.3203125,15316.009765625,15588.3203125,15341.849609375,3907430000
2022-08-23,15439.9296875,15322.0498046875,15341.849609375,15338.150390625,3823520000
2022-08-24,15433.4296875,15298.0,15338.150390625,15392.0595703125,3583630000
2022-08-25,15597.419921875,15392.0595703125,15392.0595703125,15595.240234375,3566870000
2022-08-26,15628.349609375,15177.25,15595.240234375,15178.2099609375,3832750000
2022-08-29,15229.259765625,15067.9501953125,15178.2099609375,15118.849609375,3396510000
2022-08-30,15142.669921875,14884.009765625,15118.849609375,14931.419921875,3835860000
2022-08-31,14988.75,14801.240234375,14931.419921875,14801.240234375,4542490000
